Date,Drug_Demand,Hour,Weekday,Month,Year,Holiday,Marketing_Spend,Competitor_Price
2000-01-01 00:00:00,58.2509883368656,0,5,1,2000,0,3991.9809949899422,29.79524950642913
2000-01-01 01:00:00,51.79493590274454,1,5,1,2000,0,1397.3646529899079,18.985254060242674
2000-01-01 02:00:00,66.56277295276908,2,5,1,2000,0,3686.6048592340458,32.03096881925678
2000-01-01 03:00:00,76.76700763664158,3,5,1,2000,0,2043.0540188331677,19.998652776192092
2000-01-01 04:00:00,63.25526763356626,4,5,1,2000,0,3569.759091260393,43.44068871850533
2000-01-01 05:00:00,102.58155899613922,5,5,1,2000,1,3727.5741171073546,43.04635328078787
2000-01-01 06:00:00,85.26416517725448,6,5,1,2000,0,3912.5498106216255,29.083290089600954
2000-01-01 07:00:00,73.14604367929304,7,5,1,2000,0,4446.838539646501,31.272158626717776
2000-01-01 08:00:00,66.64025504272786,8,5,1,2000,0,4598.479058391275,49.71485981597178
2000-01-01 09:00:00,59.761167003981036,9,5,1,2000,0,4036.520883067122,41.814468796722274
2000-01-01 10:00:00,77.81954840576489,10,5,1,2000,0,2924.393002379227,12.515818453953651
2000-01-01 11:00:00,58.52284429607451,11,5,1,2000,0,1176.7307470093535,16.904083142663218
2000-01-01 12:00:00,36.887891403030586,12,5,1,2000,0,4748.4300459225615,33.84394441695087
2000-01-01 13:00:00,29.013104200463985,13,5,1,2000,0,3405.3098508192356,24.86700529061902
2000-01-01 14:00:00,42.46973706698721,14,5,1,2000,0,3138.2839990107905,42.157925990886696
2000-01-01 15:00:00,38.582256595356704,15,5,1,2000,0,1957.9426051269504,35.64217957199158
2000-01-01 16:00:00,24.92434081093908,16,5,1,2000,0,3736.9447277645727,49.62743612556857
2000-01-01 17:00:00,16.9862898817142,17,5,1,2000,0,4978.923814299275,10.515355045323282
2000-01-01 18:00:00,11.852903703021628,18,5,1,2000,0,2320.116496533641,27.535264399625156
2000-01-01 19:00:00,24.60659347352219,19,5,1,2000,0,4198.320119558208,26.30037822009922
2000-01-01 20:00:00,30.60504013351165,20,5,1,2000,0,2164.491761833807,27.36900676876102
2000-01-01 21:00:00,44.36322353674179,21,5,1,2000,0,2950.9242844154437,45.40840699021657
2000-01-01 22:00:00,40.31892526421628,22,5,1,2000,1,1853.1448965069326,26.239838890296774
2000-01-01 23:00:00,57.120374284325734,23,5,1,2000,0,3051.138815676528,41.85272316459696
2000-01-02 00:00:00,58.60262868225499,0,6,1,2000,0,2837.203061681993,35.30569812154474
2000-01-02 01:00:00,62.89521328017344,1,6,1,2000,0,1155.663905348185,29.50884971854454
2000-01-02 02:00:00,72.4136362602321,2,6,1,2000,0,2527.2222523922774,37.713443952424804
2000-01-02 03:00:00,52.930957843544,3,6,1,2000,0,1250.8896596289958,19.16340339956683
2000-01-02 04:00:00,64.64845547996046,4,6,1,2000,0,2802.502640141162,15.691691116560493
2000-01-02 05:00:00,96.0576657591233,5,6,1,2000,0,4920.685203511126,48.68715134707466
2000-01-02 06:00:00,53.69735109096945,6,6,1,2000,0,2171.9076404853713,25.66106796734048
2000-01-02 07:00:00,69.13483120007054,7,6,1,2000,0,3062.558867692517,22.148156148665944
2000-01-02 08:00:00,74.9108528023112,8,6,1,2000,0,1520.7853441441541,20.613484388728654
2000-01-02 09:00:00,48.23624201549138,9,6,1,2000,0,1615.8905113546994,34.89243109452221
2000-01-02 10:00:00,55.37129088067445,10,6,1,2000,0,2421.877852432097,49.85734517694675
2000-01-02 11:00:00,78.06905638034559,11,6,1,2000,0,2958.9499226460803,45.79544855056794
2000-01-02 12:00:00,54.67173516932843,12,6,1,2000,0,3805.6358411166416,26.018367010382843
2000-01-02 13:00:00,42.08104342129739,13,6,1,2000,0,2826.7707977604227,45.81190207413425
2000-01-02 14:00:00,45.14126801134426,14,6,1,2000,0,1097.5415784620232,28.283921618680566
2000-01-02 15:00:00,33.165462210152285,15,6,1,2000,0,2083.8354665857078,14.37218403014417
2000-01-02 16:00:00,52.910510254022576,16,6,1,2000,0,1099.0931899724362,17.514548369924825
2000-01-02 17:00:00,23.91163387283249,17,6,1,2000,0,4671.7669331074,19.719411997285853
2000-01-02 18:00:00,27.947116875479605,18,6,1,2000,0,1116.1403622234375,46.708994719458886
2000-01-02 19:00:00,18.968922805854227,19,6,1,2000,0,1198.3615804657072,49.159356010576204
2000-01-02 20:00:00,32.96931485010288,20,6,1,2000,0,2193.10198910944,19.08434015739353
2000-01-02 21:00:00,37.39109922220825,21,6,1,2000,0,3529.3152714639464,26.1220997952252
2000-01-02 22:00:00,55.26991740702572,22,6,1,2000,0,2431.8273513860026,49.26194098970649
2000-01-02 23:00:00,38.00443621480961,23,6,1,2000,0,1246.2635016438885,43.88784258540071
2000-01-03 00:00:00,59.078934722870194,0,0,1,2000,0,4345.00482859211,27.71349157451885
2000-01-03 01:00:00,60.32091988595597,1,0,1,2000,0,3800.8820293592107,28.105011750172327
2000-01-03 02:00:00,45.38683701650777,2,0,1,2000,0,2585.488181105823,45.14436766538086
2000-01-03 03:00:00,61.235632414352644,3,0,1,2000,0,3707.6279481680567,11.173762349742123
2000-01-03 04:00:00,64.05101092834022,4,0,1,2000,0,2098.3477001879605,47.22715360277556
2000-01-03 05:00:00,90.56465051077124,5,0,1,2000,0,3111.4712158735697,13.57461052745312
2000-01-03 06:00:00,79.90762668494801,6,0,1,2000,0,4522.033304581405,46.05728638595628
2000-01-03 07:00:00,75.25019623717543,7,0,1,2000,0,1430.724276004673,12.562622153323026
2000-01-03 08:00:00,28.886192258530045,8,0,1,2000,0,4387.574572361344,48.76422759476838
2000-01-03 09:00:00,49.61365364000643,9,0,1,2000,0,4154.193466787353,10.342040575203374
2000-01-03 10:00:00,71.86671043799396,10,0,1,2000,0,4796.403516402113,48.59702183731613
2000-01-03 11:00:00,67.6202569942615,11,0,1,2000,0,3055.107198498088,12.485055375800215
2000-01-03 12:00:00,47.2355841723956,12,0,1,2000,0,2099.6438918238787,15.006239764981114
2000-01-03 13:00:00,49.79308546703923,13,0,1,2000,0,2412.397377350069,48.51702769519685
2000-01-03 14:00:00,44.294937153396,14,0,1,2000,0,3559.2373589506146,41.67068479573295
2000-01-03 15:00:00,42.31424394939836,15,0,1,2000,0,1563.1814367318048,43.592449256334056
2000-01-03 16:00:00,33.75598499891033,16,0,1,2000,0,2406.672213524538,27.259477509489347
2000-01-03 17:00:00,43.66632407017605,17,0,1,2000,0,3905.731926363914,13.20766052176845
2000-01-03 18:00:00,45.92687158580017,18,0,1,2000,0,3294.988935909151,15.956047134116629
2000-01-03 19:00:00,25.985712220783086,19,0,1,2000,0,1251.0090999378622,46.948089541124915
2000-01-03 20:00:00,25.670776200983667,20,0,1,2000,0,2987.417195225541,25.377349172435196
2000-01-03 21:00:00,32.86635070473561,21,0,1,2000,0,3096.8673235933084,40.22707976671896
2000-01-03 22:00:00,45.49142687801838,22,0,1,2000,0,3803.224991315885,37.60611598837515
2000-01-03 23:00:00,53.41879624040943,23,0,1,2000,0,1042.620175621762,28.95187080120646
2000-01-04 00:00:00,63.81712081321495,0,1,1,2000,0,2713.612605670025,44.42372887419467
2000-01-04 01:00:00,70.857838574015,1,1,1,2000,0,4546.465442494612,36.180166433321496
2000-01-04 02:00:00,69.62634294661135,2,1,1,2000,0,1100.5939679726198,39.59231829610602
2000-01-04 03:00:00,72.47452879101226,3,1,1,2000,0,3689.6409585914334,43.475542999036534
2000-01-04 04:00:00,89.880556100916,4,1,1,2000,0,1892.728641396233,18.90575145171022
2000-01-04 05:00:00,75.47422791185016,5,1,1,2000,0,2549.942069496502,21.731074552281044
2000-01-04 06:00:00,82.04079734691696,6,1,1,2000,0,4536.446030927975,40.22066767770688
2000-01-04 07:00:00,78.69601008788958,7,1,1,2000,0,2450.110559869492,43.16819637128579
2000-01-04 08:00:00,71.79820912166286,8,1,1,2000,0,3181.8049917208973,33.90508964871616
2000-01-04 09:00:00,68.72044115543952,9,1,1,2000,0,1358.5658226507444,49.73169515087073
2000-01-04 10:00:00,79.49836890891669,10,1,1,2000,0,2298.8222499425674,45.120738200980945
2000-01-04 11:00:00,60.58749712501746,11,1,1,2000,0,1566.6032409193913,42.0211870334803
2000-01-04 12:00:00,52.82134576026626,12,1,1,2000,0,3246.228847677222,19.81408554882821
2000-01-04 13:00:00,43.83571715993026,13,1,1,2000,0,2839.1463846902757,23.320954127686218
2000-01-04 14:00:00,50.642627677288544,14,1,1,2000,0,2058.3067467693554,24.42941888902176
2000-01-04 15:00:00,37.18837553619429,15,1,1,2000,0,4998.492864777736,13.713869494145158
2000-01-04 16:00:00,42.48394633662857,16,1,1,2000,0,1613.0975509043783,39.25761787479621
2000-01-04 17:00:00,38.9798484457193,17,1,1,2000,0,4301.925524160655,26.487731326479143
2000-01-04 18:00:00,32.281865432029896,18,1,1,2000,0,1143.0440394785792,34.84011289333151
2000-01-04 19:00:00,23.31600486499545,19,1,1,2000,0,4387.349903839462,38.37815250729308
2000-01-04 20:00:00,29.012230531539853,20,1,1,2000,0,2907.9717950324202,10.334362917371212
2000-01-04 21:00:00,33.79874891994212,21,1,1,2000,0,4312.7605649052,11.912820376800317
2000-01-04 22:00:00,36.65391819444048,22,1,1,2000,0,3988.757337257042,23.404188253646517
